Maximum values for m = 361 and d = 10:
172 = [-153, -134, -115, -96, -77, -58, -39, -20, -1, 18, 19, 37, 56, 75, 94, 113, 132, 151, 170]
173 = [-154, -135, -116, -97, -78, -59, -40, -21, -2, 17, 36, 38, 55, 74, 93, 112, 131, 150, 169]
174 = [-155, -136, -117, -98, -79, -60, -41, -22, -3, 16, 35, 54, 57, 73, 92, 111, 130, 149, 168]
175 = [-156, -137, -118, -99, -80, -61, -42, -23, -4, 15, 34, 53, 72, 76, 91, 110, 129, 148, 167]
176 = [-157, -138, -119, -100, -81, -62, -43, -24, -5, 14, 33, 52, 71, 90, 95, 109, 128, 147, 166]
177 = [-158, -139, -120, -101, -82, -63, -44, -25, -6, 13, 32, 51, 70, 89, 108, 114, 127, 146, 165]
178 = [-159, -140, -121, -102, -83, -64, -45, -26, -7, 12, 31, 50, 69, 88, 107, 126, 133, 145, 164]
179 = [-160, -141, -122, -103, -84, -65, -46, -27, -8, 11, 30, 49, 68, 87, 106, 125, 144, 152, 163]
180 = [-161, -142, -123, -104, -85, -66, -47, -28, -9, 10, 29, 48, 67, 86, 105, 124, 143, 162, 171]
-180 = [-171, -162, -143, -124, -105, -86, -67, -48, -29, -10, 9, 28, 47, 66, 85, 104, 123, 142, 161]
-179 = [-163, -152, -144, -125, -106, -87, -68, -49, -30, -11, 8, 27, 46, 65, 84, 103, 122, 141, 160]
-178 = [-164, -145, -133, -126, -107, -88, -69, -50, -31, -12, 7, 26, 45, 64, 83, 102, 121, 140, 159]
-177 = [-165, -146, -127, -114, -108, -89, -70, -51, -32, -13, 6, 25, 44, 63, 82, 101, 120, 139, 158]
-176 = [-166, -147, -128, -109, -95, -90, -71, -52, -33, -14, 5, 24, 43, 62, 81, 100, 119, 138, 157]
-175 = [-167, -148, -129, -110, -91, -76, -72, -53, -34, -15, 4, 23, 42, 61, 80, 99, 118, 137, 156]
-174 = [-168, -149, -130, -111, -92, -73, -57, -54, -35, -16, 3, 22, 41, 60, 79, 98, 117, 136, 155]
-173 = [-169, -150, -131, -112, -93, -74, -55, -38, -36, -17, 2, 21, 40, 59, 78, 97, 116, 135, 154]
-172 = [-170, -151, -132, -113, -94, -75, -56, -37, -19, -18, 1, 20, 39, 58, 77, 96, 115, 134, 153]
