(4, 6, 8, 15, 16, 17, 21, 25, 27, 31, 33, 34, 36, 42)
(3, 8, 9, 11, 12, 14, 18, 23, 26, 29, 38, 39, 41, 44)
(6, 9, 10, 12, 13, 14, 15, 25, 27, 28, 29, 40, 43, 44)
(4, 8, 9, 12, 13, 16, 21, 25, 27, 30, 31, 34, 42, 43)
(3, 6, 7, 10, 14, 19, 21, 27, 28, 30, 34, 36, 37, 43)
(6, 7, 9, 10, 14, 15, 19, 24, 27, 28, 34, 37, 42, 43)
}

Print indecomposable (contains 0 tuples): {
}

Print decomposable but no pairs (contains 644 tuples): {
(1, 5, 6, 7, 16, 19, 20, 24, 28, 33, 34, 37, 42, 43)
(3, 4, 8, 13, 17, 21, 22, 25, 26, 30, 31, 35, 36, 44)
(1, 3, 10, 14, 18, 19, 20, 23, 28, 30, 32, 37, 39, 41)
(1, 9, 11, 12, 13, 16, 18, 24, 26, 28, 31, 41, 42, 43)
(2, 4, 6, 8, 15, 17, 21, 27, 31, 33, 35, 36, 38, 42)
(4, 5, 8, 9, 19, 20, 21, 23, 27, 30, 34, 35, 38, 42)
(1, 6, 7, 10, 15, 16, 19, 24, 28, 33, 34, 37, 42, 43)
(2, 3, 4, 8, 17, 18, 21, 25, 31, 33, 36, 38, 39, 40)
(2, 4, 6, 15, 19, 20, 22, 24, 27, 29, 33, 35, 37, 42)
(3, 5, 8, 9, 14, 18, 20, 23, 29, 30, 35, 38, 39, 44)
(1, 2, 3, 4, 18, 19, 21, 30, 31, 33, 36, 38, 39, 40)
(5, 7, 9, 12, 14, 15, 17, 24, 26, 27, 32, 41, 42, 44)
(1, 4, 7, 16, 18, 19, 22, 24, 30, 31, 33, 34, 37, 39)
(4, 5, 8, 9, 14, 19, 20, 23, 29, 33, 34, 35, 38, 44)
(2, 3, 4, 8, 17, 18, 21, 30, 31, 33, 35, 36, 38, 39)
(3, 5, 6, 14, 19, 20, 21, 23, 28, 30, 33, 34, 36, 43)
(3, 4, 9, 10, 13, 18, 19, 25, 28, 30, 34, 39, 40, 43)
(2, 3, 8, 11, 17, 18, 21, 25, 26, 31, 36, 38, 39, 40)
(1, 6, 7, 11, 12, 16, 22, 26, 27, 31, 36, 37, 41, 42)
(1, 2, 3, 10, 18, 19, 21, 23, 32, 33, 36, 38, 39, 40)
(3, 5, 6, 7, 14, 15, 18, 24, 26, 33, 36, 41, 43, 44)
(2, 3, 8, 11, 17, 18, 21, 26, 30, 31, 35, 36, 38, 39)
(4, 8, 12, 13, 17, 21, 22, 25, 26, 27, 30, 31, 35, 44)
(2, 3, 4, 15, 17, 18, 22, 24, 25, 29, 33, 39, 40, 44)
(2, 4, 5, 9, 17, 19, 20, 24, 32, 33, 34, 35, 39, 42)
(4, 6, 9, 13, 15, 19, 22, 24, 27, 28, 29, 37, 40, 42)
(5, 7, 8, 9, 16, 17, 18, 24, 25, 26, 34, 39, 43, 44)
(2, 9, 11, 12, 15, 17, 22, 24, 26, 27, 29, 35, 42, 44)
(3, 4, 6, 13, 14, 19, 21, 27, 28, 29, 30, 34, 43, 44)
(3, 8, 10, 11, 15, 18, 21, 23, 25, 26, 36, 38, 40, 41)
(3, 6, 8, 11, 13, 15, 21, 25, 26, 29, 36, 38, 40, 44)
(1, 2, 10, 12, 16, 17, 21, 25, 27, 31, 32, 39, 40, 42)
(1, 3, 10, 13, 16, 18, 21, 25, 28, 30, 31, 36, 40, 43)
(5, 7, 8, 9, 12, 16, 17, 25, 26, 27, 34, 42, 43, 44)
(4, 8, 9, 13, 15, 17, 22, 24, 25, 26, 31, 35, 42, 44)
(2, 7, 9, 12, 14, 17, 22, 24, 27, 29, 32, 37, 39, 44)
(2, 5, 7, 14, 17, 20, 22, 24, 27, 29, 32, 35, 37, 44)
(2, 4, 7, 9, 17, 19, 22, 24, 27, 32, 34, 37, 39, 42)
(2, 3, 8, 11, 15, 17, 21, 25, 26, 29, 36, 38, 40, 44)
(2, 8, 9, 11, 12, 15, 17, 26, 27, 29, 35, 38, 42, 44)
(1, 2, 6, 11, 15, 19, 20, 28, 29, 33, 36, 37, 38, 40)
(1, 5, 7, 16, 18, 19, 20, 24, 30, 32, 33, 34, 37, 39)
(5, 6, 7, 10, 14, 16, 21, 23, 27, 32, 34, 36, 41, 43)
(3, 5, 7, 14, 15, 17, 18, 24, 26, 32, 33, 36, 41, 44)
(5, 6, 7, 12, 13, 16, 22, 26, 27, 30, 31, 35, 42, 43)
(2, 4, 8, 9, 15, 17, 18, 24, 29, 33, 35, 38, 39, 44)
(2, 3, 11, 14, 15, 18, 20, 23, 29, 32, 33, 36, 38, 41)
(3, 4, 9, 13, 14, 18, 19, 24, 28, 29, 33, 34, 43, 44)
(1, 9, 10, 12, 16, 19, 21, 23, 27, 28, 30, 34, 42, 43)
(1, 2, 4, 16, 17, 19, 21, 30, 31, 32, 33, 34, 36, 39)
(2, 9, 11, 12, 15, 17, 22, 24, 25, 26, 29, 39, 40, 44)
(1, 3, 10, 14, 19, 20, 21, 23, 28, 30, 32, 36, 37, 41)
(3, 4, 5, 7, 13, 18, 22, 24, 30, 33, 34, 35, 43, 44)
(5, 6, 8, 9, 12, 14, 15, 23, 26, 27, 41, 42, 43, 44)
(2, 4, 6, 11, 13, 15, 22, 29, 31, 33, 35, 36, 38, 40)
(1, 5, 7, 16, 18, 19, 20, 24, 28, 30, 33, 34, 37, 43)
(2, 3, 11, 12, 14, 20, 21, 27, 29, 30, 32, 36, 37, 41)
(3, 6, 11, 13, 15, 18, 22, 24, 26, 29, 33, 35, 36, 44)
(4, 6, 7, 9, 13, 15, 22, 24, 25, 27, 34, 42, 43, 44)
(3, 5, 8, 16, 17, 18, 21, 23, 26, 30, 32, 36, 39, 41)
(2, 5, 11, 15, 17, 18, 20, 24, 26, 32, 33, 35, 36, 41)
(5, 6, 8, 14, 15, 17, 21, 23, 26, 27, 32, 36, 41, 44)
(6, 9, 11, 12, 14, 15, 20, 24, 27, 28, 29, 37, 41, 42)
(3, 8, 9, 12, 13, 14, 21, 23, 28, 29, 30, 38, 43, 44)
(3, 4, 8, 13, 18, 19, 21, 23, 28, 30, 33, 34, 38, 43)
(5, 7, 9, 10, 14, 16, 18, 23, 24, 32, 34, 39, 41, 43)
(2, 6, 8, 11, 15, 17, 21, 26, 27, 31, 35, 36, 38, 42)
(2, 9, 11, 12, 14, 15, 20, 24, 27, 29, 32, 37, 41, 42)
(2, 3, 10, 11, 12, 14, 21, 27, 29, 32, 36, 37, 40, 41)
(3, 9, 10, 11, 12, 14, 18, 24, 28, 29, 37, 39, 40, 41)
(4, 8, 9, 12, 13, 17, 22, 25, 26, 30, 31, 35, 39, 44)
(1, 2, 3, 4, 18, 19, 22, 30, 31, 33, 36, 37, 39, 40)
(4, 6, 8, 9, 13, 19, 21, 23, 27, 28, 34, 38, 42, 43)
(4, 8, 9, 10, 13, 19, 21, 23, 25, 28, 34, 38, 40, 43)
(3, 8, 10, 11, 12, 18, 21, 23, 25, 26, 38, 39, 40, 41)
(1, 2, 9, 10, 12, 19, 21, 23, 27, 32, 38, 39, 40, 42)
(7, 9, 10, 12, 14, 15, 17, 24, 25, 26, 32, 39, 41, 44)
(2, 6, 14, 15, 19, 20, 21, 23, 27, 29, 32, 33, 36, 38)
(1, 6, 10, 13, 15, 16, 18, 25, 28, 31, 33, 36, 40, 43)
(2, 4, 8, 9, 12, 17, 21, 27, 30, 31, 35, 38, 39, 42)
(1, 10, 11, 12, 13, 16, 18, 25, 26, 28, 31, 40, 41, 43)
(1, 4, 9, 13, 16, 18, 19, 24, 28, 31, 33, 34, 42, 43)
(4, 5, 7, 9, 13, 16, 22, 24, 30, 31, 34, 35, 42, 43)
(1, 4, 6, 13, 19, 20, 22, 28, 30, 31, 33, 35, 36, 37)
(2, 3, 10, 11, 14, 15, 21, 23, 29, 32, 36, 38, 40, 41)
(3, 6, 7, 11, 14, 15, 22, 24, 26, 29, 36, 37, 41, 44)
(1, 4, 6, 13, 19, 20, 22, 27, 28, 30, 31, 35, 37, 42)
(1, 2, 9, 11, 12, 19, 20, 28, 29, 30, 37, 38, 39, 40)
(3, 8, 10, 14, 15, 17, 21, 23, 25, 32, 33, 34, 36, 44)
(1, 4, 8, 16, 18, 19, 21, 23, 30, 31, 33, 34, 38, 39)
(1, 6, 11, 12, 13, 20, 21, 27, 28, 30, 31, 35, 38, 42)
(1, 4, 8, 9, 16, 19, 21, 23, 30, 31, 34, 38, 39, 42)
(3, 9, 10, 12, 14, 19, 21, 23, 28, 29, 30, 38, 39, 40)
(2, 3, 11, 15, 17, 18, 22, 24, 26, 29, 33, 35, 36, 44)
(1, 3, 7, 10, 16, 18, 19, 28, 30, 33, 34, 36, 37, 43)
(3, 9, 11, 12, 13, 18, 22, 24, 28, 29, 30, 37, 39, 40)
(5, 8, 9, 12, 14, 17, 21, 23, 27, 30, 32, 34, 39, 44)
(5, 6, 7, 10, 14, 15, 16, 23, 27, 32, 34, 41, 42, 43)
(1, 2, 5, 16, 17, 18, 20, 30, 31, 32, 33, 35, 36, 39)
(2, 4, 9, 11, 12, 13, 22, 29, 30, 31, 35, 38, 39, 40)
(1, 2, 5, 16, 17, 18, 20, 24, 31, 32, 33, 35, 39, 42)
(3, 4, 7, 16, 17, 18, 22, 25, 30, 31, 33, 34, 36, 39)
(1, 3, 10, 14, 18, 19, 20, 23, 28, 32, 33, 36, 37, 41)
(3, 7, 10, 12, 14, 17, 21, 25, 26, 27, 32, 36, 41, 44)
(2, 3, 10, 11, 14, 15, 18, 23, 29, 32, 38, 39, 40, 41)
(1, 5, 6, 7, 16, 19, 20, 28, 30, 33, 34, 36, 37, 43)
(1, 6, 10, 14, 15, 19, 20, 23, 27, 28, 32, 37, 41, 42)
(2, 3, 11, 12, 14, 20, 21, 23, 29, 30, 32, 38, 39, 41)
(1, 2, 11, 12, 16, 17, 21, 26, 27, 31, 32, 36, 41, 42)
(1, 6, 7, 11, 15, 16, 22, 24, 26, 31, 36, 37, 41, 42)
(2, 6, 11, 14, 15, 20, 21, 23, 27, 29, 32, 36, 38, 41)
(1, 10, 12, 14, 19, 20, 21, 23, 27, 28, 30, 32, 37, 41)
(1, 2, 3, 11, 18, 19, 20, 28, 29, 33, 36, 37, 38, 40)
(2, 3, 10, 11, 15, 17, 18, 25, 26, 32, 36, 39, 40, 41)
(2, 3, 5, 11, 14, 17, 20, 26, 29, 32, 35, 36, 41, 44)
(3, 4, 8, 9, 14, 19, 21, 23, 29, 30, 34, 38, 39, 44)
(1, 5, 6, 7, 15, 16, 20, 24, 32, 33, 36, 37, 41, 42)
(2, 3, 4, 14, 17, 19, 21, 27, 29, 30, 32, 34, 39, 44)
(2, 3, 11, 14, 15, 18, 20, 24, 29, 32, 33, 36, 37, 41)
(6, 10, 11, 12, 14, 15, 21, 23, 27, 28, 29, 38, 40, 41)
(1, 4, 6, 13, 19, 20, 21, 28, 30, 31, 33, 35, 36, 38)
(2, 9, 11, 12, 14, 15, 20, 23, 27, 29, 32, 38, 41, 42)
(4, 7, 9, 10, 15, 19, 22, 24, 25, 27, 34, 37, 40, 42)
(1, 6, 8, 13, 15, 16, 18, 23, 28, 31, 33, 38, 42, 43)
(6, 7, 13, 15, 16, 18, 22, 24, 25, 26, 31, 33, 36, 43)
(2, 4, 9, 11, 13, 15, 22, 24, 29, 31, 35, 38, 40, 42)
(2, 4, 9, 11, 13, 18, 22, 24, 29, 31, 35, 38, 39, 40)
(1, 6, 7, 10, 15, 16, 22, 25, 27, 31, 36, 37, 40, 42)
(3, 4, 6, 7, 14, 19, 22, 27, 29, 33, 34, 36, 37, 44)
(4, 5, 6, 7, 9, 13, 22, 24, 27, 34, 35, 42, 43, 44)
(1, 5, 6, 16, 19, 20, 21, 23, 27, 28, 30, 34, 42, 43)
(8, 9, 10, 11, 12, 15, 18, 23, 25, 26, 38, 39, 40, 41)
(2, 5, 9, 14, 15, 17, 20, 24, 27, 29, 32, 35, 42, 44)
(2, 3, 11, 12, 17, 21, 22, 26, 27, 29, 30, 35, 36, 44)
(3, 8, 10, 14, 15, 17, 18, 23, 25, 26, 32, 39, 41, 44)
(4, 5, 6, 7, 16, 17, 22, 27, 31, 33, 34, 35, 36, 42)
(1, 9, 10, 14, 15, 19, 20, 23, 24, 28, 32, 37, 41, 42)
(3, 9, 11, 12, 13, 14, 18, 24, 26, 28, 29, 41, 43, 44)
(1, 6, 11, 12, 13, 20, 22, 27, 28, 30, 31, 35, 37, 42)
(3, 5, 6, 7, 14, 18, 20, 24, 28, 33, 36, 37, 41, 43)
(5, 6, 7, 9, 12, 14, 15, 24, 26, 27, 41, 42, 43, 44)
(1, 4, 7, 9, 16, 19, 22, 24, 30, 31, 34, 37, 39, 42)
(1, 5, 8, 11, 16, 18, 20, 23, 26, 31, 35, 38, 41, 42)
(2, 8, 9, 11, 15, 17, 18, 24, 26, 31, 35, 38, 39, 42)
(1, 5, 9, 16, 18, 19, 20, 23, 24, 32, 33, 34, 39, 42)
(1, 2, 11, 12, 19, 20, 21, 27, 28, 29, 30, 37, 38, 40)
(1, 2, 4, 6, 15, 19, 21, 27, 31, 33, 36, 38, 40, 42)
(3, 6, 8, 10, 14, 15, 21, 23, 25, 26, 36, 41, 43, 44)
(1, 2, 4, 16, 17, 19, 21, 27, 30, 31, 32, 34, 39, 42)
(5, 6, 9, 12, 13, 14, 20, 27, 28, 29, 30, 35, 43, 44)
(1, 2, 9, 11, 12, 19, 20, 27, 28, 29, 37, 38, 40, 42)
(1, 2, 9, 11, 15, 18, 20, 23, 24, 32, 38, 39, 41, 42)
(1, 4, 6, 13, 19, 20, 21, 27, 28, 30, 31, 35, 38, 42)
(1, 9, 11, 12, 13, 18, 22, 24, 28, 30, 31, 37, 39, 40)
(3, 8, 9, 10, 14, 15, 18, 23, 25, 29, 38, 39, 40, 44)
(3, 7, 10, 12, 14, 17, 21, 25, 27, 30, 32, 34, 39, 44)
(3, 4, 5, 6, 7, 13, 22, 30, 33, 34, 35, 36, 43, 44)
(1, 2, 9, 15, 18, 19, 20, 23, 24, 32, 33, 38, 39, 42)
(1, 8, 9, 10, 12, 16, 21, 23, 25, 31, 38, 39, 40, 42)
(1, 2, 8, 16, 17, 18, 21, 23, 31, 32, 33, 36, 38, 39)
(2, 3, 10, 12, 14, 19, 21, 27, 29, 30, 32, 37, 39, 40)
(3, 6, 10, 14, 15, 19, 21, 23, 28, 29, 33, 36, 38, 40)
(3, 8, 11, 12, 13, 18, 21, 25, 26, 30, 31, 38, 39, 40)
(1, 6, 11, 12, 13, 16, 21, 26, 28, 30, 31, 36, 41, 43)
(5, 6, 8, 9, 13, 14, 20, 23, 28, 29, 35, 38, 43, 44)
(2, 3, 4, 12, 17, 21, 22, 25, 27, 29, 30, 39, 40, 44)
(2, 8, 9, 11, 12, 15, 17, 23, 26, 32, 38, 39, 41, 42)
(3, 6, 10, 11, 12, 13, 21, 25, 26, 28, 36, 40, 41, 43)
(2, 8, 11, 12, 15, 17, 21, 25, 26, 27, 31, 38, 40, 42)
(3, 5, 6, 7, 14, 20, 22, 24, 29, 33, 35, 36, 37, 44)
(3, 7, 9, 10, 12, 14, 18, 24, 28, 30, 37, 39, 41, 43)
(3, 5, 6, 7, 13, 18, 22, 24, 26, 33, 35, 36, 43, 44)
(4, 5, 8, 9, 16, 17, 18, 24, 31, 33, 34, 35, 39, 42)
(3, 7, 9, 10, 12, 14, 22, 24, 25, 29, 37, 39, 40, 44)
(3, 4, 7, 13, 16, 18, 22, 25, 30, 31, 33, 34, 36, 43)
(1, 8, 11, 12, 16, 18, 21, 23, 26, 30, 31, 38, 39, 41)
(4, 5, 6, 7, 13, 16, 22, 27, 30, 31, 34, 35, 42, 43)
(3, 8, 10, 14, 15, 17, 18, 23, 25, 32, 33, 34, 39, 44)
(3, 4, 8, 13, 16, 18, 21, 25, 30, 31, 33, 34, 36, 43)
(2, 4, 9, 10, 15, 17, 19, 25, 27, 32, 34, 39, 40, 42)
(1, 7, 9, 12, 13, 16, 22, 24, 28, 30, 31, 37, 42, 43)
(2, 3, 5, 11, 17, 18, 20, 26, 30, 32, 35, 36, 39, 41)
(5, 8, 9, 14, 15, 17, 18, 23, 24, 26, 32, 39, 41, 44)
(1, 5, 6, 8, 16, 20, 21, 23, 31, 33, 35, 36, 38, 42)
(6, 9, 11, 12, 13, 20, 22, 24, 27, 28, 29, 35, 37, 42)
(2, 3, 4, 14, 17, 19, 21, 27, 29, 32, 33, 34, 36, 44)
(1, 2, 8, 15, 16, 17, 18, 23, 31, 32, 33, 38, 39, 42)
(2, 3, 4, 10, 17, 19, 21, 25, 32, 33, 34, 36, 39, 40)
(3, 5, 8, 12, 14, 17, 21, 23, 26, 30, 32, 39, 41, 44)
(3, 8, 11, 12, 13, 18, 21, 23, 26, 28, 30, 38, 41, 43)
(5, 6, 8, 13, 15, 16, 18, 24, 26, 31, 33, 35, 42, 43)
(3, 5, 8, 11, 18, 20, 21, 23, 26, 30, 35, 36, 38, 41)
(5, 9, 11, 12, 13, 18, 20, 24, 26, 28, 30, 35, 41, 43)
(3, 9, 11, 12, 14, 18, 20, 23, 28, 29, 30, 38, 39, 41)
(3, 4, 9, 13, 18, 19, 22, 24, 28, 29, 30, 37, 39, 40)
(4, 6, 8, 14, 15, 19, 21, 23, 27, 29, 33, 34, 38, 44)
(1, 6, 8, 13, 16, 18, 21, 23, 28, 31, 33, 36, 38, 43)
(1, 4, 9, 13, 15, 18, 19, 24, 28, 31, 33, 38, 40, 42)
(2, 3, 4, 8, 15, 17, 21, 25, 29, 33, 36, 38, 40, 44)
(3, 6, 8, 11, 14, 15, 21, 23, 26, 29, 36, 38, 41, 44)
(1, 2, 9, 10, 11, 12, 15, 24, 32, 37, 39, 40, 41, 42)
(2, 8, 11, 12, 15, 17, 21, 25, 26, 27, 29, 38, 40, 44)
(3, 4, 9, 10, 13, 14, 19, 25, 28, 29, 34, 40, 43, 44)
(3, 8, 9, 10, 12, 14, 21, 23, 25, 30, 34, 39, 43, 44)
(1, 8, 10, 15, 16, 18, 21, 23, 25, 31, 33, 36, 38, 40)
(4, 6, 9, 13, 15, 19, 20, 24, 28, 29, 33, 35, 38, 42)
(4, 8, 9, 10, 15, 19, 21, 23, 25, 27, 34, 38, 40, 42)
(2, 9, 14, 15, 18, 19, 20, 23, 24, 29, 32, 33, 38, 39)
(5, 6, 7, 13, 16, 18, 22, 24, 26, 31, 33, 35, 36, 43)
(2, 3, 4, 8, 15, 17, 18, 25, 29, 33, 38, 39, 40, 44)
(5, 8, 9, 11, 12, 14, 20, 23, 26, 29, 35, 38, 41, 44)
(3, 5, 6, 11, 13, 18, 20, 26, 28, 30, 35, 36, 41, 43)
(4, 6, 7, 13, 16, 21, 22, 25, 27, 30, 31, 34, 36, 43)
(2, 5, 11, 14, 15, 17, 20, 24, 26, 29, 32, 35, 41, 44)
(6, 7, 9, 12, 13, 15, 22, 24, 25, 26, 27, 42, 43, 44)
(3, 5, 7, 12, 14, 17, 21, 26, 27, 30, 32, 36, 41, 44)
(2, 3, 5, 14, 17, 20, 21, 27, 29, 30, 32, 35, 36, 44)
(4, 5, 7, 13, 16, 18, 22, 24, 30, 31, 33, 34, 35, 43)
(1, 2, 3, 10, 11, 12, 21, 30, 32, 36, 37, 39, 40, 41)
(6, 9, 11, 12, 14, 15, 20, 23, 27, 28, 29, 38, 41, 42)
(4, 6, 7, 15, 16, 17, 22, 25, 27, 31, 33, 34, 36, 42)
(3, 6, 7, 11, 12, 14, 22, 26, 27, 29, 36, 37, 41, 44)
(2, 4, 8, 9, 12, 17, 21, 25, 27, 29, 38, 39, 40, 44)
(5, 8, 9, 14, 15, 17, 18, 23, 24, 32, 33, 34, 39, 44)
(3, 4, 6, 7, 13, 21, 22, 25, 27, 30, 34, 36, 43, 44)
(2, 4, 9, 14, 15, 17, 19, 24, 29, 32, 33, 34, 39, 44)
(5, 6, 7, 11, 12, 20, 22, 26, 27, 30, 35, 36, 37, 41)
(3, 8, 10, 16, 17, 18, 21, 23, 25, 32, 33, 34, 36, 39)
(1, 2, 3, 11, 18, 20, 21, 23, 30, 32, 36, 38, 39, 41)
(5, 8, 9, 11, 15, 18, 20, 23, 24, 26, 35, 38, 41, 42)
(1, 2, 4, 9, 15, 18, 19, 24, 31, 33, 38, 39, 40, 42)
(1, 9, 10, 12, 13, 16, 18, 25, 28, 30, 31, 39, 40, 43)
(1, 4, 9, 13, 18, 19, 20, 24, 28, 31, 33, 35, 38, 42)
(3, 6, 7, 12, 13, 21, 22, 25, 26, 27, 30, 36, 43, 44)
(1, 2, 4, 6, 19, 20, 21, 27, 31, 33, 35, 36, 38, 42)
(1, 4, 7, 10, 16, 19, 22, 25, 27, 31, 34, 37, 40, 42)
(1, 2, 7, 16, 17, 18, 22, 24, 31, 32, 33, 36, 37, 39)
(8, 10, 12, 14, 15, 17, 21, 23, 25, 26, 27, 32, 41, 44)
(3, 4, 8, 10, 18, 19, 21, 23, 25, 33, 34, 38, 39, 40)
(5, 7, 8, 12, 16, 17, 21, 25, 26, 27, 30, 34, 43, 44)
(2, 5, 7, 11, 17, 20, 22, 24, 26, 32, 35, 36, 37, 41)
(2, 5, 11, 12, 14, 17, 20, 26, 27, 29, 32, 35, 41, 44)
(3, 6, 8, 10, 14, 15, 21, 23, 25, 33, 34, 36, 43, 44)
(1, 5, 6, 13, 16, 18, 20, 24, 28, 31, 33, 35, 42, 43)
(2, 8, 9, 12, 14, 17, 21, 23, 27, 29, 32, 38, 39, 44)
(8, 9, 10, 12, 14, 17, 21, 23, 25, 27, 32, 34, 39, 44)
(3, 4, 8, 13, 17, 18, 22, 25, 26, 31, 33, 35, 36, 44)
(1, 5, 6, 7, 16, 20, 22, 24, 31, 33, 35, 36, 37, 42)
(3, 6, 10, 12, 13, 14, 21, 25, 27, 28, 29, 40, 43, 44)
(2, 3, 4, 18, 19, 20, 22, 24, 29, 30, 33, 35, 37, 39)
(3, 6, 10, 11, 12, 14, 21, 27, 28, 29, 36, 37, 40, 41)
(1, 6, 10, 11, 12, 15, 21, 23, 27, 28, 38, 40, 41, 42)
(1, 2, 4, 9, 18, 19, 20, 24, 31, 33, 35, 38, 39, 42)
(2, 4, 8, 9, 15, 17, 19, 23, 32, 33, 34, 38, 39, 42)
(5, 6, 8, 9, 14, 15, 20, 23, 27, 29, 35, 38, 42, 44)
(1, 9, 10, 12, 14, 19, 20, 23, 28, 30, 32, 37, 39, 41)
(8, 9, 10, 12, 15, 16, 17, 23, 25, 26, 32, 39, 41, 42)
(3, 8, 10, 16, 17, 18, 21, 23, 25, 26, 32, 36, 39, 41)
(1, 7, 10, 11, 12, 16, 22, 25, 26, 31, 36, 37, 40, 41)
(5, 7, 8, 9, 12, 16, 17, 25, 26, 30, 34, 39, 43, 44)
(3, 8, 9, 11, 12, 13, 18, 26, 29, 30, 35, 38, 39, 44)
(2, 4, 8, 15, 17, 19, 21, 23, 27, 32, 33, 34, 38, 42)
(3, 6, 7, 10, 14, 15, 18, 24, 28, 33, 36, 37, 41, 43)
(2, 3, 11, 12, 17, 21, 22, 25, 26, 27, 29, 36, 40, 44)
(1, 5, 6, 7, 12, 16, 20, 27, 28, 30, 37, 41, 42, 43)
(3, 4, 5, 7, 17, 18, 22, 24, 30, 33, 34, 35, 39, 44)
(3, 7, 9, 12, 13, 14, 22, 24, 28, 29, 30, 37, 43, 44)
(5, 6, 8, 14, 15, 17, 21, 23, 27, 32, 33, 34, 36, 44)
(3, 8, 9, 10, 12, 14, 18, 23, 25, 26, 39, 41, 43, 44)
(4, 6, 8, 13, 15, 17, 22, 25, 26, 27, 31, 35, 42, 44)
(3, 4, 6, 7, 13, 19, 22, 28, 30, 33, 34, 36, 37, 43)
(1, 7, 10, 13, 16, 18, 22, 24, 25, 28, 31, 37, 40, 43)
(2, 7, 11, 12, 15, 17, 22, 24, 26, 27, 32, 37, 41, 42)
(1, 4, 7, 10, 16, 19, 22, 25, 30, 31, 34, 37, 39, 40)
(2, 3, 10, 11, 14, 15, 18, 24, 29, 32, 37, 39, 40, 41)
(1, 7, 10, 15, 16, 18, 22, 24, 25, 31, 33, 36, 37, 40)
(4, 6, 7, 10, 13, 19, 22, 25, 27, 28, 34, 37, 40, 43)
(5, 6, 7, 15, 16, 17, 22, 24, 26, 31, 33, 35, 36, 42)
(2, 3, 8, 14, 15, 17, 21, 23, 29, 32, 33, 36, 38, 44)
(1, 4, 6, 13, 15, 19, 22, 24, 28, 31, 33, 37, 40, 42)
(6, 7, 11, 12, 14, 15, 22, 24, 26, 27, 29, 37, 41, 44)
(3, 5, 6, 7, 12, 14, 21, 26, 27, 30, 36, 41, 43, 44)
(1, 2, 3, 11, 18, 19, 20, 28, 29, 30, 37, 38, 39, 40)
(3, 4, 7, 10, 19, 21, 22, 25, 27, 30, 34, 36, 37, 40)
(1, 7, 9, 10, 16, 18, 19, 24, 28, 30, 34, 37, 39, 43)
(3, 5, 6, 13, 14, 18, 20, 24, 28, 29, 33, 35, 43, 44)
(2, 3, 4, 11, 13, 21, 22, 29, 30, 31, 35, 36, 38, 40)
(1, 9, 10, 13, 15, 16, 18, 24, 25, 28, 31, 40, 42, 43)
(2, 4, 8, 9, 17, 19, 21, 23, 27, 32, 34, 38, 39, 42)
(3, 6, 8, 11, 13, 18, 21, 23, 26, 28, 36, 38, 41, 43)
(2, 4, 5, 17, 19, 20, 21, 27, 30, 32, 33, 34, 35, 36)
(3, 6, 7, 11, 13, 18, 22, 24, 26, 28, 36, 37, 41, 43)
(2, 4, 8, 9, 15, 17, 18, 24, 31, 33, 35, 38, 39, 42)
(1, 9, 10, 12, 16, 19, 21, 23, 27, 30, 32, 34, 39, 42)
(3, 5, 7, 8, 16, 17, 18, 25, 26, 30, 34, 39, 43, 44)
(1, 3, 4, 13, 18, 19, 22, 28, 30, 31, 33, 36, 37, 40)
(3, 6, 11, 13, 14, 15, 18, 24, 26, 28, 29, 41, 43, 44)
(6, 8, 9, 12, 13, 14, 21, 23, 27, 28, 29, 38, 43, 44)
(5, 7, 10, 12, 14, 16, 21, 23, 27, 30, 32, 34, 41, 43)
(3, 6, 11, 13, 15, 18, 22, 24, 28, 29, 33, 36, 37, 40)
(3, 4, 6, 10, 13, 19, 21, 25, 28, 33, 34, 36, 40, 43)
(6, 8, 11, 12, 14, 15, 21, 23, 26, 27, 29, 38, 41, 44)
(6, 9, 11, 12, 13, 15, 22, 24, 26, 27, 29, 35, 42, 44)
(3, 5, 6, 8, 14, 15, 18, 23, 26, 33, 36, 41, 43, 44)
(4, 5, 6, 8, 9, 13, 15, 24, 33, 34, 35, 42, 43, 44)
(1, 6, 7, 13, 16, 18, 22, 24, 28, 31, 33, 36, 37, 43)
(5, 8, 9, 11, 12, 18, 20, 23, 26, 30, 35, 38, 39, 41)
(1, 9, 10, 14, 18, 19, 20, 23, 24, 28, 32, 37, 39, 41)
(6, 8, 9, 11, 12, 13, 15, 26, 27, 29, 35, 38, 42, 44)
(4, 5, 6, 8, 16, 17, 21, 27, 31, 33, 34, 35, 36, 42)
(1, 6, 10, 14, 15, 19, 20, 23, 28, 32, 33, 36, 37, 41)
(3, 6, 11, 12, 13, 21, 22, 25, 26, 27, 29, 36, 40, 44)
(3, 6, 11, 12, 14, 20, 21, 27, 28, 29, 30, 36, 37, 41)
(1, 7, 9, 10, 12, 16, 18, 24, 28, 30, 37, 39, 41, 43)
(4, 5, 6, 8, 13, 16, 21, 27, 30, 31, 34, 35, 42, 43)
(4, 6, 8, 9, 13, 15, 19, 23, 28, 33, 34, 38, 42, 43)
(4, 5, 6, 7, 15, 17, 22, 24, 27, 33, 34, 35, 42, 44)
(6, 8, 9, 11, 12, 13, 15, 23, 26, 28, 38, 41, 42, 43)
